,Title,Artists,Danceability,Energy,Loudness,Speechiness,Acousticness,Valence,Continent,id,Song URL
0,Ella Baila Sola,"Eslabon Armado, Peso Pluma",0.668,0.758,-11.146620720320144,0.033,0.483,0.834,Latin-America,3qQbCzHBycnDpGskqOWY0E,https://open.spotify.com/track/3qQbCzHBycnDpGskqOWY0E
1,WHERE SHE GOES,Bad Bunny,0.652,0.8,-9.217429968875052,0.061,0.143,0.234,Latin-America,7ro0hRteUMfnOioTFI5TG1,https://open.spotify.com/track/7ro0hRteUMfnOioTFI5TG1
2,La Bebe - Remix,"Yng Lvcas, Peso Pluma",0.812,0.479,-11.98365940417964,0.333,0.213,0.559,Latin-America,2UW7JaomAMuX9pZrjVpHAU,https://open.spotify.com/track/2UW7JaomAMuX9pZrjVpHAU
3,Cupid - Twin Ver.,FIFTY FIFTY,0.783,0.592,-16.408959537572258,0.033,0.435,0.726,Asia,7FbrGaHYVDmfr7KoLIZnQ7,https://open.spotify.com/track/7FbrGaHYVDmfr7KoLIZnQ7
4,un x100to,"Grupo Frontera, Bad Bunny",0.569,0.724,-9.312472209871054,0.047,0.228,0.562,Latin-America,6pD0ufEQq0xdHSsRbg9LBK,https://open.spotify.com/track/6pD0ufEQq0xdHSsRbg9LBK
5,Flowers,Miley Cyrus,0.707,0.681,-9.727656736327255,0.067,0.063,0.646,Anglo-America,4DHcnVTT87F0zZhRPYmZ3B,https://open.spotify.com/track/4DHcnVTT87F0zZhRPYmZ3B
6,Daylight,David Kushner,0.508,0.43,-18.314806580702538,0.034,0.83,0.324,Anglo-America,1odExI7RdWc4BT515LTAwj,https://open.spotify.com/track/1odExI7RdWc4BT515LTAwj
7,Kill Bill,SZA,0.644,0.735,-12.098710538016896,0.039,0.052,0.418,Anglo-America,1Qrg8KqiBpW07V7PNxwwwL,https://open.spotify.com/track/1Qrg8KqiBpW07V7PNxwwwL
8,As It Was,Harry Styles,0.52,0.731,-11.41674077367719,0.056,0.342,0.662,Europe,4Dvkj6JhhA12EX05fT7y2e,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
9,TQG,"KAROL G, Shakira",0.72,0.63,-8.430413517118716,0.277,0.673,0.607,Latin-America,0DWdj2oZMBFSzRsi2Cvfzf,https://open.spotify.com/track/0DWdj2oZMBFSzRsi2Cvfzf
10,Classy 101,"Feid, Young Miko",0.859,0.658,-2.5241051578479343,0.159,0.145,0.672,Latin-America,6XSqqQIy7Lm7SnwxS4NrGx,https://open.spotify.com/track/6XSqqQIy7Lm7SnwxS4NrGx
11,TQM,Fuerza Regida,0.786,0.853,-10.778123610493552,0.059,0.273,0.963,Latin-America,368eeEO3Y2uZUQ6S5oIjcu,https://open.spotify.com/track/368eeEO3Y2uZUQ6S5oIjcu
12,Anti-Hero,Taylor Swift,0.637,0.643,-13.472654513116936,0.052,0.13,0.533,Anglo-America,0V3wPSX9ygBnCm8psDIegu,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu
13,Calm Down (with Selena Gomez),"Rema, Selena Gomez",0.799,0.802,-11.179968875055579,0.037,0.429,0.811,Africa,1s7oOCT8vauUh01PbJD6ps,https://open.spotify.com/track/1s7oOCT8vauUh01PbJD6ps
